일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),일 최심적설(cm),coat_F,coat_M
2019-01-01,-5,-8.2,-0.6,,4.3,,26.78414,31.59609
2019-01-02,-4.9,-8.8,0.2,,3.6,,27.40088,34.52768
2019-01-03,-3.5,-8.4,3.2,,2.9,,28.01762,31.27035
2019-01-04,-1.1,-6.2,4.1,,3,,29.95594,26.38436
2019-01-05,-2.8,-5.5,1.1,,4.3,,27.04845,37.45928
2019-01-06,-2.8,-6.3,2.7,,3.2,,32.15859,36.15635
2019-01-07,-1.9,-6.2,3.1,,4.7,,30.66079,29.64169
2019-01-08,-3.5,-7.2,0.5,,6.5,,27.48898,33.22475
2019-01-09,-4.7,-9.4,1.3,,3.5,,30.13215,29.64169
2019-01-10,-0.6,-4.5,3,,3.8,,26.34361,30.29315
2019-01-11,2.4,-0.4,7.2,,2.6,,22.20264,21.17263
2019-01-12,2.8,-0.6,8,,3.5,,24.58149,27.03583
2019-01-13,1.2,-3,7.6,,3.2,,28.10572,20.8469
2019-01-14,1.4,-2.4,5.3,,2.5,,23.25991,27.68729
2019-01-15,-1.7,-7.2,2.6,0,6.1,,23.0837,15.96091
2019-01-16,-5.2,-10.1,-1.1,0,4.3,,21.5859,22.8013
2019-01-17,-0.3,-3.2,4,0,5,,21.49779,15.96091
2019-01-18,0.6,-4.6,6.7,,4.5,,16.74008,22.14983
2019-01-19,3.6,0,8.5,,3,,22.73127,25.08143
2019-01-20,-1.4,-5.5,4,,5.5,,22.46696,20.19543
2019-01-21,-1.2,-6.7,4.2,0,4.3,,22.81938,19.54397
2019-01-22,1.7,-3.3,7.1,,4.4,,22.02643,19.21824
2019-01-23,2,-0.8,7,,5.1,,20.0,15.63517
2019-01-24,0.1,-4.6,6.5,,3.5,,16.74008,19.21824
2019-01-25,-1.2,-3.8,2.6,,5.5,,20.61674,15.30944
2019-01-26,-2.5,-6.5,2.4,,4.4,,22.29074,17.58957
2019-01-27,-0.1,-6.6,5.1,,3.7,,23.0837,16.61237
