일시,coat_F,coat_M
2019-01-01,26.78414,31.59609
2019-01-02,27.40088,34.52768
2019-01-03,28.01762,31.27035
2019-01-04,29.95594,26.38436
2019-01-05,27.04845,37.45928
2019-01-06,32.15859,36.15635
2019-01-07,30.66079,29.64169
2019-01-08,27.48898,33.22475
2019-01-09,30.13215,29.64169
2019-01-10,26.34361,30.29315
2019-01-11,22.20264,21.17263
2019-01-12,24.58149,27.03583
2019-01-13,28.10572,20.8469
2019-01-14,23.25991,27.68729
2019-01-15,23.0837,15.96091
2019-01-16,21.5859,22.8013
2019-01-17,21.49779,15.96091
2019-01-18,16.74008,22.14983
2019-01-19,22.73127,25.08143
2019-01-20,22.46696,20.19543
2019-01-21,22.81938,19.54397
2019-01-22,22.02643,19.21824
2019-01-23,20,15.63517
2019-01-24,16.74008,19.21824
2019-01-25,20.61674,15.30944
2019-01-26,22.29074,17.58957
2019-01-27,23.0837,16.61237
2019-01-28,19.20704,13.68078
2019-01-29,16.38766,17.58957
2019-01-30,17.26872,14.65798
2019-01-31,17.44493,11.72638
2019-02-01,15.15418,16.61237
2019-02-02,16.29955,10.09771
2019-02-03,14.88986,12.37785
2019-02-04,11.27753,7.81758
2019-02-05,11.89427,10.09771
2019-02-06,15.5066,10.74918
2019-02-07,14.80176,13.02931
2019-02-08,14.80176,14.33224
2019-02-09,16.91629,13.35504
2019-02-10,21.05726,20.52117
2019-02-11,18.76651,14.33224
2019-02-12,17.79735,13.02931
2019-02-13,16.56387,12.70358
2019-02-14,19.47136,13.35504
2019-02-15,19.20704,10.09771
2019-02-16,19.73568,16.93811
2019-02-17,23.78854,14.33224
2019-02-18,21.32158,13.35504
2019-02-19,19.55947,13.02931
2019-02-20,19.38325,10.42345
2019-02-21,20.52863,13.35504
2019-02-22,15.68281,9.77198
2019-02-23,18.06167,10.74918
2019-02-24,19.29515,7.49185
2019-02-25,17.44493,8.79478
2019-02-26,14.36123,7.16612
2019-02-27,14.00881,9.12052
2019-02-28,11.71806,4.56026
2019-03-01,11.10132,3.90879
2019-03-02,12.68722,3.90879
2019-03-03,13.30396,7.81758
2019-03-04,8.28193,5.86319
2019-03-05,6.87224,4.88599
2019-03-06,7.22466,5.86319
2019-03-07,8.89867,3.58306
2019-03-08,9.60352,5.21172
2019-03-09,7.7533,4.56026
2019-03-10,8.54625,5.53745
2019-03-11,10.30837,7.16612
2019-03-12,10.48458,6.51465
2019-03-13,10.04405,6.51465
2019-03-14,9.07488,2.93159
2019-03-15,7.57709,4.88599
2019-03-16,10.13215,5.86319
2019-03-17,11.27753,4.56026
2019-03-18,8.45814,5.53745
2019-03-19,6.78414,6.84039
2019-03-20,7.40088,3.58306
2019-03-21,5.72687,2.93159
2019-03-22,6.69603,5.86319
2019-03-23,6.43171,5.53745
2019-03-24,8.01762,8.46905
2019-03-25,6.34361,4.88599
2019-03-26,5.81497,3.58306
2019-03-27,5.37444,5.21172
2019-03-28,4.14096,4.88599
2019-03-29,4.7577,4.56026
2019-03-30,5.72687,7.49185
2019-03-31,9.2511,4.23452
2019-04-01,8.37004,6.51465
2019-04-02,8.54625,2.28013
2019-04-03,6.60792,3.90879
2019-04-04,4.49339,3.25732
2019-04-05,4.14096,3.90879
2019-04-06,4.31718,3.58306
2019-04-07,3.43612,2.60586
2019-04-08,4.05286,5.21172
2019-04-09,4.84581,3.25732
2019-04-10,3.43612,3.90879
2019-04-11,3.78854,2.28013
2019-04-12,3.61233,1.62866
2019-04-13,3.1718,3.90879
2019-04-14,3.61233,4.88599
2019-04-15,3.87665,3.90879
2019-04-16,3.34801,4.23452
2019-04-17,2.02643,1.62866
2019-04-18,2.81938,1.95439
2019-04-19,1.93832,3.25732
2019-04-20,2.46696,3.58306
2019-04-21,1.674,3.25732
2019-04-22,2.11453,3.90879
2019-04-23,1.674,0.32573
2019-04-24,2.90748,0.32573
2019-04-25,2.99559,2.93159
