일시,coat_F,coat_M
2019-01-01,26.8,31.6
2019-01-02,27.4,34.5
2019-01-03,28.0,31.3
2019-01-04,30.0,26.4
2019-01-05,27.0,37.5
2019-01-06,32.2,36.2
2019-01-07,30.7,29.6
2019-01-08,27.5,33.2
2019-01-09,30.1,29.6
2019-01-10,26.3,30.3
2019-01-11,22.2,21.2
2019-01-12,24.6,27.0
2019-01-13,28.1,20.8
2019-01-14,23.3,27.7
2019-01-15,23.1,16.0
2019-01-16,21.6,22.8
2019-01-17,21.5,16.0
2019-01-18,16.7,22.1
2019-01-19,22.7,25.1
2019-01-20,22.5,20.2
2019-01-21,22.8,19.5
2019-01-22,22.0,19.2
2019-01-23,20.0,15.6
2019-01-24,16.7,19.2
2019-01-25,20.6,15.3
2019-01-26,22.3,17.6
2019-01-27,23.1,16.6
2019-01-28,19.2,13.7
2019-01-29,16.4,17.6
2019-01-30,17.3,14.7
2019-01-31,17.4,11.7
2019-02-01,15.2,16.6
2019-02-02,16.3,10.1
2019-02-03,14.9,12.4
2019-02-04,11.3,7.8
2019-02-05,11.9,10.1
2019-02-06,15.5,10.7
2019-02-07,14.8,13.0
2019-02-08,14.8,14.3
2019-02-09,16.9,13.4
2019-02-10,21.1,20.5
2019-02-11,18.8,14.3
2019-02-12,17.8,13.0
2019-02-13,16.6,12.7
2019-02-14,19.5,13.4
2019-02-15,19.2,10.1
2019-02-16,19.7,16.9
2019-02-17,23.8,14.3
2019-02-18,21.3,13.4
2019-02-19,19.6,13.0
2019-02-20,19.4,10.4
2019-02-21,20.5,13.4
2019-02-22,15.7,9.8
2019-02-23,18.1,10.7
2019-02-24,19.3,7.5
2019-02-25,17.4,8.8
2019-02-26,14.4,7.2
2019-02-27,14.0,9.1
2019-02-28,11.7,4.6
2019-03-01,11.1,3.9
2019-03-02,12.7,3.9
2019-03-03,13.3,7.8
2019-03-04,8.3,5.9
2019-03-05,6.9,4.9
2019-03-06,7.2,5.9
2019-03-07,8.9,3.6
2019-03-08,9.6,5.2
2019-03-09,7.8,4.6
2019-03-10,8.5,5.5
2019-03-11,10.3,7.2
2019-03-12,10.5,6.5
2019-03-13,10.0,6.5
2019-03-14,9.1,2.9
2019-03-15,7.6,4.9
2019-03-16,10.1,5.9
2019-03-17,11.3,4.6
2019-03-18,8.5,5.5
2019-03-19,6.8,6.8
2019-03-20,7.4,3.6
2019-03-21,5.7,2.9
2019-03-22,6.7,5.9
2019-03-23,6.4,5.5
2019-03-24,8.0,8.5
2019-03-25,6.3,4.9
2019-03-26,5.8,3.6
2019-03-27,5.4,5.2
2019-03-28,4.1,4.9
2019-03-29,4.8,4.6
2019-03-30,5.7,7.5
2019-03-31,9.3,4.2
2019-04-01,8.4,6.5
2019-04-02,8.5,2.3
2019-04-03,6.6,3.9
2019-04-04,4.5,3.3
2019-04-05,4.1,3.9
2019-04-06,4.3,3.6
2019-04-07,3.4,2.6
2019-04-08,4.1,5.2
2019-04-09,4.8,3.3
2019-04-10,3.4,3.9
2019-04-11,3.8,2.3
2019-04-12,3.6,1.6
2019-04-13,3.2,3.9
2019-04-14,3.6,4.9
2019-04-15,3.9,3.9
2019-04-16,3.3,4.2
2019-04-17,2.0,1.6
2019-04-18,2.8,2.0
2019-04-19,1.9,3.3
2019-04-20,2.5,3.6
2019-04-21,1.7,3.3
2019-04-22,2.1,3.9
2019-04-23,1.7,0.3
2019-04-24,2.9,0.3
2019-04-25,3.0,2.9
2019-04-26,4.1,2.3
2019-04-27,2.8,4.2
2019-04-28,2.6,3.6
2019-04-29,3.0,2.6
2019-04-30,1.6,1.6
2019-05-01,2.7,1.6
2019-05-02,1.7,2.9
2019-05-03,1.8,1.6
2019-05-04,3.1,3.3
2019-05-05,1.6,3.3
2019-05-06,1.9,1.6
2019-05-07,2.5,2.0
2019-05-08,1.8,3.9
2019-05-09,2.5,2.0
2019-05-10,2.7,3.3
2019-05-11,1.7,0.7
2019-05-12,2.9,2.0
2019-05-13,1.3,2.6
2019-05-14,2.4,2.3
2019-05-15,1.3,2.0
2019-05-16,2.6,1.6
2019-05-17,2.4,0.3
2019-05-18,1.9,1.3
2019-05-19,2.6,2.9
2019-05-20,2.4,2.6
2019-05-21,3.1,2.3
2019-05-22,2.9,1.6
2019-05-23,2.9,2.9
2019-05-24,3.6,1.6
2019-05-25,2.3,0.3
2019-05-26,2.9,2.9
2019-05-27,2.9,2.3
2019-05-28,2.6,2.6
2019-05-29,3.6,2.3
2019-05-30,3.0,2.3
2019-05-31,2.1,2.0
2019-06-01,2.9,2.3
2019-06-02,3.3,2.3
2019-06-03,3.9,2.9
2019-06-04,2.7,2.9
2019-06-05,3.7,3.6
2019-06-06,2.1,4.2
2019-06-07,2.9,1.0
2019-06-08,3.2,2.0
2019-06-09,3.0,4.2
2019-06-10,4.1,2.9
2019-06-11,3.2,3.6
2019-06-12,2.3,2.0
2019-06-13,2.9,2.0
2019-06-14,3.3,3.9
2019-06-15,3.6,3.6
2019-06-16,4.1,3.3
2019-06-17,4.1,2.3
2019-06-18,4.9,3.6
2019-06-19,4.7,5.2
2019-06-20,3.3,2.3
2019-06-21,4.2,3.9
2019-06-22,2.7,4.9
2019-06-23,6.3,4.2
2019-06-24,3.5,2.3
2019-06-25,4.4,4.6
2019-06-26,5.3,5.5
2019-06-27,4.5,5.2
2019-06-28,3.3,3.3
2019-06-29,4.0,5.9
2019-06-30,4.4,4.6
2019-07-01,3.6,2.9
2019-07-02,4.3,5.9
2019-07-03,3.4,4.9
2019-07-04,3.8,4.6
2019-07-05,3.2,3.6
2019-07-06,4.2,6.2
2019-07-07,4.6,3.9
2019-07-08,4.1,3.6
2019-07-09,4.2,2.6
2019-07-10,5.4,3.3
2019-07-11,5.2,3.9
2019-07-12,3.2,3.6
2019-07-13,3.3,3.6
2019-07-14,5.7,3.6
2019-07-15,4.7,2.9
2019-07-16,5.1,4.2
2019-07-17,4.9,5.5
2019-07-18,5.9,4.9
2019-07-19,4.8,2.3
2019-07-20,6.0,6.8
2019-07-21,8.7,5.5
2019-07-22,4.6,4.6
2019-07-23,7.8,3.3
2019-07-24,6.2,4.9
2019-07-25,8.7,7.5
2019-07-26,5.2,5.9
2019-07-27,7.2,5.2
2019-07-28,7.0,5.2
2019-07-29,7.5,5.9
2019-07-30,7.6,5.5
2019-07-31,7.3,5.2
2019-08-01,7.5,4.9
2019-08-02,6.8,4.9
2019-08-03,7.0,4.9
2019-08-04,7.5,4.9
2019-08-05,8.8,7.5
2019-08-06,9.4,6.5
2019-08-07,7.7,6.5
2019-08-08,8.4,5.5
2019-08-09,7.8,5.2
2019-08-10,8.7,5.2
2019-08-11,10.7,6.5
2019-08-12,9.7,6.8
2019-08-13,10.4,10.7
2019-08-14,10.8,5.2
2019-08-15,13.3,7.2
2019-08-16,12.0,7.8
2019-08-17,13.0,7.2
2019-08-18,13.3,10.4
2019-08-19,15.2,6.8
2019-08-20,13.7,10.1
2019-08-21,12.1,8.1
2019-08-22,12.6,7.2
2019-08-23,13.1,7.8
2019-08-24,10.8,9.4
2019-08-25,17.0,10.4
2019-08-26,15.0,10.1
2019-08-27,17.0,10.1
2019-08-28,16.7,8.8
2019-08-29,15.2,9.8
2019-08-30,14.2,12.1
2019-08-31,14.4,9.1
2019-09-01,14.7,15.6
2019-09-02,14.6,11.1
2019-09-03,18.0,13.7
2019-09-04,14.6,10.1
2019-09-05,15.9,13.0
2019-09-06,15.8,10.7
2019-09-07,19.6,12.1
2019-09-08,19.8,10.1
2019-09-09,18.4,11.7
2019-09-10,17.4,15.0
2019-09-11,14.7,8.1
2019-09-12,17.1,9.4
2019-09-13,16.7,9.4
2019-09-14,18.6,10.7
2019-09-15,21.9,18.6
2019-09-16,20.8,16.0
2019-09-17,17.1,20.8
2019-09-18,20.1,12.7
2019-09-19,21.2,17.3
2019-09-20,20.1,16.6
2019-09-21,25.9,15.3
2019-09-22,34.2,23.1
2019-09-23,32.3,23.5
